city_id,name,latitude,longitude
3427408,Villa Lugano,-34.67907,-58.47263
3427420,Villa Hernandarias,-31.23101,-59.985
3427428,Villaguay,-31.8653,-59.02689
3427431,Villa Gesell,-37.26394,-56.97304
3427443,Villa Elisa,-32.1632,-58.40082
3427537,Veinticinco de Mayo,-27.37679,-54.74312
3427582,Urdinarrain,-32.68573,-58.89323
3427761,Tigre,-34.42603,-58.57962
3427833,Tandil,-37.32167,-59.13316
3428068,San Vicente,-26.61667,-54.13333
3428071,Santo Tomé,-28.54939,-56.04077
3428079,Santo Pipó,-27.14132,-55.40867
3428182,Santa Rosa,-28.26318,-58.11891
3428287,Santa Lucía,-28.98746,-59.10287
3428359,Santa Elena,-30.94768,-59.78696
3428481,San Salvador,-31.62487,-58.50524
3428577,San Pedro,-26.62207,-54.10842
3428644,San Miguel,-27.99585,-57.58964
3428708,San Luis del Palmar,-27.5079,-58.55454
3428759,San Lorenzo,-28.13306,-58.76733
3428858,San José de Feliciano,-30.38452,-58.75167
3428928,San José,-27.76979,-55.7826
3428975,San Javier,-30.57781,-59.9317
3428992,San Isidro,-34.4721,-58.52708
3429160,San Clemente del Tuyú,-36.35694,-56.72351
3429403,Saladas,-28.25384,-58.62591
3429439,Rosario del Tala,-32.30286,-59.14545
3429576,Retiro,-34.58333,-58.38333
3429577,Resistencia,-27.46056,-58.98389
3429594,Reconquista,-29.15,-59.65
3429652,Quilmes,-34.72904,-58.26374
3429713,Puerto Vilelas,-27.51414,-58.93906
3429721,Puerto Tirol,-27.37218,-59.08206
3429732,Puerto Rico,-26.79598,-55.02402
3429738,Puerto Piray,-26.46779,-54.71476
3429764,Puerto Libertad,-25.91641,-54.62089
3429777,Puerto Iguazú,-25.59912,-54.57355
3429786,Puerto Esperanza,-26.01517,-54.67306
3429790,Puerto Eldorado,-26.40843,-54.69463
3429866,Presidencia de la Plaza,-27.00147,-59.84243
3429886,Posadas,-27.36708,-55.89608
3429902,Pontevedra,-34.74785,-58.70072
3429949,Pirané,-25.73239,-59.10879
3430029,Perugorría,-29.34132,-58.61059
3430104,Paso de los Libres,-29.71251,-57.08771
3430105,Paso de la Patria,-27.31676,-58.57197
3430178,Panambí,-27.72369,-54.91515
3430180,Pampa del Indio,-26.06468,-59.91898
3430186,Palo Santo,-25.56332,-59.33781
3430340,Oberá,-27.48706,-55.11994
3430402,Nuestra Señora del Rosario de Caa Catí,-27.75072,-57.62073
3430443,Necochea,-38.5545,-58.73961
3430545,Morón,-34.6509,-58.61956
3430598,Monte Caseros,-30.25359,-57.63626
3430601,Montecarlo,-26.5662,-54.757
3430648,Mocoretá,-30.61891,-57.96344
3430708,Mercedes,-34.65145,-59.43068
3430709,Mercedes,-29.18416,-58.07519
3430760,Mburucuyá,-28.04532,-58.22835
3430857,Margarita Belén,-27.2616,-58.97219
3430863,Mar del Plata,-38.00228,-57.55754
