:START_ID(Book),:END_ID(Author)
10335,"Wiggin, Kate Douglas Smith"
10337,"Garnett, David"
10338,"Aaronsohn, Alexander"
10339,"Verne, Jules"
1034,"Owen, Wilfred"
10340,"Stoddard, William Osborn"
10342,"Merriman, Henry Seton"
10343,"Lamb, Mary"
10344,"Erickson, Joel A."
10345,"Trollope, Frances Milton"
10346,"Buysse, Cyriël"
10347,"Alvares, Rahul"
10348,"McGuinn, Roger"
10349,"Verne, Jules"
1035,"Robinson, Edwin Arlington"
10350,"Johnson, Samuel"
10351,"Johnson, Samuel"
10352,"Johnson, Samuel"
10353,"Goethe, Johann Wolfgang von"
10354,"Goethe, Johann Wolfgang von"
10355,"Richardson, James"
10356,"Richardson, James"
10357,"Boswell, James"
10358,"Wilson, Harry Leon"
10359,"Baum, L. Frank (Lyman Frank)"
1036,"Lawson, Henry"
10360,"Alcott, Louisa May"
10361,"Troward, T. (Thomas)"
10362,"Dolbey, Robert Valentine"
10363,"Cooper, James Fenimore"
10364,"Kingsley, Charles"
10365,"Cooper, James Fenimore"
10366,"Gandhi, Mahatma"
10367,"Carr, John, Sir"
10368,"Stockton, Frank Richard"
10369,"Yeardley, John"
1037,"Venables, Edmund"
10370,"Musick, John R. (John Roy)"
10371,"Oppenheim, E. Phillips (Edward Phillips)"
10372,"Vachell, Horace Annesley"
10373,"Fletcher, J. S. (Joseph Smith)"
10374,"Bowman, Earl Wayland"
10375,"MacDonald, George"
10376,Zitkala-Sa
10377,"Le Fanu, Joseph Sheridan"
10378,"Mill, John Stuart"
10379,"Garvice, Charles"
1038,"Raleigh, Walter Alexander, Sir"
10380,"Wells, Philip P. (Philip Patterson)"
10381,"Hugo, Victor"
10382,"Howard, J. E."
10383,"Bull, Thomas"
10384,"Conscience, Hendrik"
10385,"Thiers, Adolphe"
10386,"Clarkson, Thomas"
10387,"Musick, John R. (John Roy)"
10389,"Long, William J. (William Joseph)"
1039,"Livingstone, David"
10390,"Troward, T. (Thomas)"
10391,"Waterloo, Stanley"
10392,"Brampton, Henry Hawkins, Baron"
10393,"Guest, Edgar A. (Edgar Albert)"
10394,"Pyle, Howard"
10395,"Van Dyke, Henry"
10396,"Harkness, Peter T."
10397,"Stevenson, Burton Egbert"
10398,"McCracken, Elizabeth"
10399,"Collins, J. E. (Joseph Edmund)"
104,"Roosevelt, Franklin D. (Franklin Delano)"
1040,"Robinson, Edwin Arlington"
10400,"Deken, Agatha"
10401,"Drayton, Daniel"
10402,"Isham, Frederic Stewart"
10403,"Bilbrough, E. Ernest"
10404,"Raine, William MacLeod"
10408,Broadway Dance Orchestra
10409,"Jellicoe, John Rushworth"
1041,"Shakespeare, William"
10410,"Williamson, A. M. (Alice Muriel)"
10415,National Promenade Band
10417,"Hubbard, Elbert"
10418,"Farnol, Jeffery"
10419,"Evans, Robert J."
1042,"Meredith, George"
10420,"Lewes, George Henry"
10421,"Galt, John"
10422,"Mundy, Talbot"
10425,"Goethe, Johann Wolfgang von"
10426,"Goethe, Johann Wolfgang von"
10427,"Kingsley, Charles"
10428,"Goethe, Johann Wolfgang von"
10429,"Gale, Zona"
1043,"McCabe, Joseph"
10430,"Lucian, of Samosata"
10431,"Hughes, Louis"
10432,"Baum, L. Frank (Lyman Frank)"
10433,"Perry, Nora"
10434,"Cooper, James Fenimore"
10435,Various
10436,"Spyri, Johanna"
10437,"Eddy, Mary Baker"
10438,"Mackay, Isabel Ecclestone"
10439,"Herrman, Karl Stephen"
1044,"Twain, Mark"
10440,"Train, Arthur Cheney"
10441,"Chambers, Robert W. (Robert William)"
10442,"Gautier, Théophile"
10443,"Fletcher, J. S. (Joseph Smith)"
10444,"Lansing, Robert"
10446,"Doyle, Arthur Conan"
10447,"Le Gallienne, Richard"
10449,"Greene, Homer"
1045,"Shakespeare, William"
10450,Various
10451,"Boswell, James"
10452,"De La Pasture, Henry, Mrs."
10453,"Blaisdell, Albert F. (Albert Franklin)"
10454,Various
10455,"Turnbull, Lawrence, Mrs."
10456,Various
10457,"Le Gallienne, Richard"
10458,"Flaubert, Gustave"
10459,"Yeats, W. B. (William Butler)"
1046,"Wells, H. G. (Herbert George)"
10460,"Guest, Edgar A. (Edgar Albert)"
10461,"Gregory, Francis Thomas"
10462,"Richardson, Samuel"
10463,"Eliot, Ethel Cook"
10464,Various
10465,"Hope, Laura Lee"
10466,"Burnett, Frances Hodgson"
10468,"Baum, L. Frank (Lyman Frank)"
10469,"Brooke, L. Leslie (Leonard Leslie)"
1047,"Wells, H. G. (Herbert George)"
10470,"McGuinn, Roger"
10472,Wace
10473,"White, William Patterson"
10474,"Copplestone, Bennet"
10475,Various
10476,"Freeman, R. Austin (Richard Austin)"
10477,"Lord, John"
10478,"Lord, John"
10479,Atticus
1048,"Van Dyke, Henry"
10480,"Canth, Minna"
10481,"Aho, Juhani"
10482,"Alcott, William A. (William Andrus)"
10484,"Lord, John"
10485,"Root, Elihu"
10486,"McGuinn, Roger"
10487,"McGuinn, Roger"
10488,"McGuinn, Roger"
1049,"Summerhayes, Martha"
10490,"Longfellow, Henry Wadsworth"
10491,"Powers, Leland Todd"
10492,"Canth, Minna"
10494,"Green, Alice Stopford"
10495,"Trask, Katrina"
10496,"Vance, Louis Joseph"
10497,"McGuinn, Roger"
10498,"McGuinn, Roger"
10499,"McGuinn, Roger"
105,"Austen, Jane"
1050,"Shaw, Bernard"
10500,"McGuinn, Roger"
10501,"McGuinn, Roger"
10502,"De Marchi, Emilio"
10503,"McGuinn, Roger"
10504,"McGuinn, Roger"
10505,"McGuinn, Roger"
10506,"Valle-Inclán, Ramón del"
10507,"Bjørnson, Bjørnstjerne"
10508,"McGaffey, Kenneth"
10509,"Dell, Ethel M. (Ethel May)"
1051,"Carlyle, Thomas"
10510,"Clinton, Bill"
10511,"Bridges, Victor"
10512,"Wilde, Oscar"
10513,"Smith, R. Cadwallader"
10514,"D'Oliveira, E. (Elias)"
10515,"Cotter, Frank J."
10516,"Jackson, Helen Hunt"
10517,"Adams, E. E. (Ezra Eastman)"
10518,"Hay, John"
10519,"Jackson, Helen Hunt"
1052,American Tract Society
10520,W. M.
10521,"Crawford, F. Marion (Francis Marion)"
10522,"Lord, John"
10523,Euripides
10524,"McGuinn, Roger"
10525,"McGuinn, Roger"
10526,"McGuinn, Roger"
10527,"McGuinn, Roger"
10528,"McGuinn, Roger"
10529,"McGuinn, Roger"
1053,"Conrad, Joseph"
10530,"McGuinn, Roger"
10531,"Lord, John"
10532,"Lord, John"
10533,"Lord, John"
10534,"Oppenheim, E. Phillips (Edward Phillips)"
10535,"Pierpont, James"
10536,"Erickson, Joel A."
10537,"Oppenheim, E. Phillips (Edward Phillips)"
10538,"Birmingham, George A."
10539,"Browne, Theo. Stephenson"
1054,"Lang, Andrew"
10540,"Wiggin, Kate Douglas Smith"
10541,"Stevenson, Augusta"
10542,"Hodgson, William Hope"
10544,Various
10545,"Cooper, James Fenimore"
10546,"Sienkiewicz, Henryk"
10547,"Verne, Jules"
10548,"Quiller-Couch, Arthur"
10549,"Child, Lydia Maria"
1055,"Conrad, Joseph"
10551,"Mundy, Talbot"
10552,"Fitzhugh, Percy Keese"
10554,"Wodehouse, P. G. (Pelham Grenville)"
10555,"Yonge, Charles Duke"
10556,"Orczy, Emmuska Orczy, Baroness"
10557,"Brooke, L. Leslie (Leonard Leslie)"
10558,"Thackeray, William Makepeace"
10559,"Stevenson, Robert Louis"
1056,"London, Jack"
10560,"Cooke, John Esten"
10561,"Jacobs, W. W. (William Wymark)"
10562,"Jacobs, W. W. (William Wymark)"
10563,"Jacobs, W. W. (William Wymark)"
10564,"Jacobs, W. W. (William Wymark)"
10565,"Jacobs, W. W. (William Wymark)"
10566,"Jacobs, W. W. (William Wymark)"
10567,"Jacobs, W. W. (William Wymark)"
10568,"Jacobs, W. W. (William Wymark)"
10569,"Jacobs, W. W. (William Wymark)"
1057,"Wilde, Oscar"
10570,"Jacobs, W. W. (William Wymark)"
10571,"Jacobs, W. W. (William Wymark)"
10572,"Jacobs, W. W. (William Wymark)"
10573,"Jacobs, W. W. (William Wymark)"
10574,"Hume, David"
10575,"Oppenheim, E. Phillips (Edward Phillips)"
10576,"Langworthy, John Luther"
10578,"MacDonald, George"
10579,"Barnum, Vance"
1058,"Conrad, Joseph"
10580,"Ferri, Enrico"
10581,"Doyle, Arthur Conan"
10582,"Bradley, Alice"
10583,"Grattan, Thomas Colley"
10584,"Beach, Charles Amory"
10585,"Boothby, Guy"
10586,"Wodehouse, P. G. (Pelham Grenville)"
10587,"Addison, Joseph"
10589,International Committee of the Red Cross
1059,"Wells, H. G. (Herbert George)"
10590,"Montagu, Mary Wortley, Lady"
10591,"Trumbull, H. Clay (Henry Clay)"
10592,"Grayson, David"
10593,"Grayson, David"
10594,Various
10595,Various
10597,"Godwin, William"
10598,"Cibber, Theophilus"
10599,"Snell, Roy J. (Roy Judson)"
106,"Burroughs, Edgar Rice"
1060,"Lang, Andrew"
10600,"Kerr, Robert"
10601,"Brand, Max"
10602,"Spenser, Edmund"
10603,"Beynon, William George Laurence, Sir"
10604,"Goethe, Johann Wolfgang von"
10605,"Grayson, David"
10606,"Shakespeare, William"
10608,"Smith, Arthur Cosslett"
10609,"Long, William J. (William Joseph)"
1061,"Fiske, John"
10610,"Elgin, James Bruce, Earl of"
10611,"Clarkson, Thomas"
10612,"Henderson, Hubert Douglas, Sir"
10613,"Adams, Brooks"
10614,Various
10615,"Locke, John"
10616,"Locke, John"
10617,"Smith, R. Cadwallader"
10618,Unknown
10619,"Benwell, John"
